Word (he),Word (en),Root,Part of speech,Binyan,Meaning
וִילוֹן,vilon,[],Noun,masculine,"curtain, drape; soft palate (anatomy)"
וִיכּוּחַ,vikuach,"['ו', 'כ', 'ח']",Noun,"kittul pattern, masculine","argument, debate, discussion"
לְהִתְווַכֵּחַ,lehitvakeach,"['ו', 'כ', 'ח']",Verb,hitpa'el,"to discuss, to argue, to debate"
תּוֹכֵחָה,tochecha,"['ו', 'כ', 'ח']",Noun,"taktela pattern, feminine","reproof, admonishment, rebuke"
לְהוֹלִיךְ,leholich,"['ו', 'ל', 'ך']",Verb,hif'il,"to lead, to conduct"
מוֹלִיךְ,molich,"['ו', 'ל', 'ך']",Noun,"maktil pattern, masculine",conductor (electricity)
וִיסּוּת,visut,"['ו', 'ס', 'ת']",Noun,"kittul pattern, masculine",regulation
לְווַסֵּת,levaset,"['ו', 'ס', 'ת']",Verb,pi'el,to regulate
וֶסֶת,veset,"['ו', 'ס', 'ת']",Noun,"ketel pattern, feminine","menstruation, period"
וַעֲדָה,va'ada,"['ו', 'ע', 'ד']",Noun,"katla pattern, feminine","committee, board, commission"
וַעַד,va'ad,"['ו', 'ע', 'ד']",Noun,"ketel pattern, masculine",committee
וְעִידָה,ve'ida,"['ו', 'ע', 'ד']",Noun,"ktila pattern, feminine","conference, congress"
וְעוֹד,ve'od,[],Adverb,"plus, + (mathematics)",
לְהַווְרִיד,lehavrid,"['ו', 'ר', 'ד']",Verb,hif'il,to become pink; to make something pink
וֶרֶד,vered,"['ו', 'ר', 'ד']",Noun,"ketel pattern, masculine",rose (flower)
וְרִיד,vrid,"['ו', 'ר', 'ד']",Noun,"ktil pattern, masculine",vein (anatomy)
וָרוֹד,varod,"['ו', 'ר', 'ד']",Adjective,katol pattern,pink
וֶתֶק,vetek,"['ו', 'ת', 'ק']",Noun,"ketel pattern, masculine","seniority, track record"
וָתִיק,vatik,"['ו', 'ת', 'ק']",Adjective,katil pattern,"veteran, senior, old-timer"
וִיתּוּר,vitur,"['ו', 'ת', 'ר']",Noun,"kittul pattern, masculine","concession, giving up"
לְווַתֵּר,levater,"['ו', 'ת', 'ר']",Verb,pi'el,"to give up, to concede"
נוֹתָר,notar,"['ו', 'ת', 'ר']",Adjective,niktal pattern,remaining
זְאֵב,ze'ev,"['ז', 'א', 'ב']",Noun,"ktel pattern, masculine",wolf
זֹאת,zot,[],Pronoun,this (feminine),
זְבוּב,zvuv,"['ז', 'ב', 'ב']",Noun,"ktul pattern, masculine",fly (insect)
לִזְבּוֹחַ,lizboach,"['ז', 'ב', 'ח']",Verb,pa'al,to sacrifice (an animal)
לְזַבֵּחַ,lezabeach,"['ז', 'ב', 'ח']",Verb,pi'el,to engage in animal sacrifice (archaic)
זֶבַח,zevach,"['ז', 'ב', 'ח']",Noun,"ketel pattern, masculine",sacrifice (animal)
מִזְבֵּחַ,mizbeach,"['ז', 'ב', 'ח']",Noun,masculine,altar
לְהִיזָּבֵחַ,lehizaveach,"['ז', 'ב', 'ח']",Verb,nif'al,to be sacrificed (of an animal)
זֶבֶל,zevel,"['ז', 'ב', 'ל']",Noun,"ketel pattern, masculine","rubbish, garbage; manure"
מִזְבָּלָה,mizbala,"['ז', 'ב', 'ל']",Noun,"miktala pattern, feminine","garbage dump, rubbish dump"
לְזַבֵּל,lezabel,"['ז', 'ב', 'ל']",Verb,pi'el,"to fertilise, to manure; to talk rubbish (slang)"
זֶבְּרָה,zebra,[],Noun,feminine,🦓 zebra
זִיגּוּג,zigug,"['ז', 'ג', 'ג']",Noun,"kittul pattern, masculine","glazing; icing, frosting"
זַגָּג,zagag,"['ז', 'ג', 'ג']",Noun,"kattal pattern, masculine","glazier, glassmaker"
זַג,zag,"['ז', 'ג', 'ג']",Noun,"ketel pattern, masculine","grape skin, peel, husk"
לְהִזְדַּגֵּג,lehizdageg,"['ז', 'ג', 'ג']",Verb,hitpa'el,to vitrify
לְזַגֵּג,lezageg,"['ז', 'ג', 'ג']",Verb,pi'el,to glaze (a building); to glaze (food); to glaze (ceramics)
לְזַגְזֵג,lezagzeg,"['ז', 'ג', 'ז', 'ג']",Verb,pi'el,"to zigzag, to move in zigzag (coll.)"
זֶה,ze,[],Pronoun,this (masculine),
זָהָב,zahav,"['ז', 'ה', 'ב']",Noun,"katal pattern, masculine",gold
זָהוֹב,zahov,"['ז', 'ה', 'ב']",Adjective,katol pattern,golden (colour)
לְהַזְהִיב,lehazhiv,"['ז', 'ה', 'ב']",Verb,hif'il,to gild; to become golden in colour
לְהִזְדַּהוֹת,lehizdahot,"['ז', 'ה', 'ה']",Verb,hitpa'el,to identify oneself
זִיהוּי,zihuy,"['ז', 'ה', 'ה']",Noun,"kittul pattern, masculine",identification
זֵהֶה,zehe,"['ז', 'ה', 'ה']",Adjective,kete pattern,identical
זֶהוּת,zehut,"['ז', 'ה', 'ה']",Noun,feminine,identity
הִזְדַּהוּת,hizdahut,"['ז', 'ה', 'ה']",Noun,"hitkattlut pattern, feminine",identification (with something or someone); empathy; producing identification
לְזַהוֹת,lezahot,"['ז', 'ה', 'ה']",Verb,pi'el,"to identify, to recognise"
זִיהוּם,zihum,"['ז', 'ה', 'ם']",Noun,"kittul pattern, masculine","contamination, pollution; infection"
לְזַהֵם,lezahem,"['ז', 'ה', 'ם']",Verb,pi'el,"to pollute, to contaminate"
לְהִזְדַּהֵם,lehizdahem,"['ז', 'ה', 'ם']",Verb,hitpa'el,to become polluted; to become infected
אַזְהָרָה,azhara,"['ז', 'ה', 'ר']",Noun,"aktala pattern, feminine",warning
לִזְהוֹר,lizhor,"['ז', 'ה', 'ר']",Verb,pa'al,"to shine, to illuminate"
לְהִיזָּהֵר,lehizaher,"['ז', 'ה', 'ר']",Verb,nif'al,"to be careful, to beware (מן)"
הַזְהָרָה,hazhara,"['ז', 'ה', 'ר']",Noun,"haktala pattern, feminine",warning
זָהִיר,zahir,"['ז', 'ה', 'ר']",Adjective,katil pattern,"careful, cautious"
זְהִירוּת,zehirut,"['ז', 'ה', 'ר']",Noun,feminine,caution
לְהַזְהִיר,lehazhir,"['ז', 'ה', 'ר']",Verb,hif'il,to warn
זוּ,zu,[],Conjunction,"that, which (archaic)",
לָזוּב,lazuv,"['ז', 'ו', 'ב']",Verb,pa'al,"to drip, to pour"
לְזַווֵּג,lezaveg,"['ז', 'ו', 'ג']",Verb,pi'el,to match two objects; to marry off a couple
לְהִזְדַּווֵּג,lehizdaveg,"['ז', 'ו', 'ג']",Verb,hitpa'el,"to mate, to have a sexual intercourse"
זוּג,zug,"['ז', 'ו', 'ג']",Noun,masculine,"pair, couple, twosome"
הִזְדַּווְּגוּת,hizdavgut,"['ז', 'ו', 'ג']",Noun,"hitkattlut pattern, feminine","copulation, mating, sexual intercourse"
לְזַווֵּד,lezaved,"['ז', 'ו', 'ד']",Verb,pi'el,"to outfit, to equip"
מִזְווָדָה,mizvada,"['ז', 'ו', 'ד']",Noun,"miktala pattern, feminine",suitcase
מִזְווָד,mizvad,"['ז', 'ו', 'ד']",Noun,"miktal pattern, masculine","luggage, baggage (rare)"
לָזוּד,lazud,"['ז', 'ו', 'ד']",Verb,pa'al,"to plot, to plan an evil act (archaic)"
זָדוֹן,zadon,"['ז', 'ו', 'ד']",Noun,"wickedness, evil, malice",
לָזוּז,lazuz,"['ז', 'ו', 'ז']",Verb,pa'al,"to move, to budge"
לְהָזִיז,lehaziz,"['ז', 'ו', 'ז']",Verb,hif'il,"to move, to shift"
תְּזוּזָה,tzuza,"['ז', 'ו', 'ז']",Noun,"tkula pattern, feminine","movement, motion"
הֲזָזָה,hazaza,"['ז', 'ו', 'ז']",Noun,"haktala pattern, feminine","moving, shifting, sliding"
לָזוּחַ,lazuach,"['ז', 'ו', 'ח']",Verb,pa'al,to move (lit.); to rise (lit.)
זוּטוֹת,zutot,[],Noun,"trifles, small things",
זוּטָר,zutar,[],Adjective,"junior, subordinate",
זָווִית,zavit,"['ז', 'ו', 'ה']",Noun,feminine,"angle (geometry); perspective, point of view"
זוֹל,zol,"['ז', 'ו', 'ל']",Adjective,cheap,
זוּלַת,zulat,[],Preposition,"apart from, other than, beside",
לְהָזִין,lehazin,"['ז', 'ו', 'ן']",Verb,hif'il,"to nourish, to sustain; to enter data (computing)"
לְהִיזּוֹן,lehizon,"['ז', 'ו', 'ן']",Verb,nif'al,"to be fed, to be nourished"
מָזוֹן,mazon,"['ז', 'ו', 'ן']",Noun,"miktal pattern, masculine",food
הֲזָנָה,hazana,"['ז', 'ו', 'ן']",Noun,"haktala pattern, feminine","feeding, nourishing; supply (of raw materials, of input data)"
לָזוּן,lazun,"['ז', 'ו', 'ן']",Verb,pa'al,"to nourish, to feed (lit.)"
מִזְנוֹן,miznon,"['ז', 'ו', 'ן']",Noun,masculine,"cafeteria, snack bar, kiosk, buffet, canteen"
תְּזוּנָה,tzuna,"['ז', 'ו', 'ן']",Noun,"tkula pattern, feminine",nutrition
לְהָזִיעַ,lehazia,"['ז', 'ו', 'ע']",Verb,hif'il,"to sweat, to perspire"
זְווָעָתִי,zva'ati,"['ז', 'ו', 'ע']",Adjective,"horrible, terrible",
לָזוּעַ,lazua,"['ז', 'ו', 'ע']",Verb,pa'al,to move (rare)
זְווָעָה,zva'a,"['ז', 'ו', 'ע']",Noun,"ktala pattern, feminine","horror, terror; something bad (coll.)"
זָר,zar,"['ז', 'ו', 'ר']",Adjective,kal pattern,"alien, foreign, strange, outside"
לְהִיזּוֹר,lehizor,"['ז', 'ו', 'ר']",Verb,nif'al,"to go away (rare, lit.)"
מוּזָר,muzar,"['ז', 'ו', 'ר']",Adjective,muktal pattern,"strange, unusual, odd, weird"
מְזוּוָּת,mezuvat,"['ז', 'ו', 'ת']",Adjective,mekuttal pattern,"pointed, angular"
לְזַווֵּת,lezavet,"['ז', 'ו', 'ת']",Verb,pi'el,"to direct, to point (at an angle)"
זָחִיחַ,zachiach,"['ז', 'ח', 'ח']",Adjective,katil pattern,"mobile, moveable"
לְהִזְדַּחֵל,lehizdachel,"['ז', 'ח', 'ל']",Verb,hitpa'el,"to crawl, to lurk"
זְחִילָה,zchila,"['ז', 'ח', 'ל']",Noun,"ktila pattern, feminine",crawling
זַחַל,zachal,"['ז', 'ח', 'ל']",Noun,"ketel pattern, masculine","larva, caterpillar, maggot; caterpillar track (transport)"
לִזְחוֹל,lizchol,"['ז', 'ח', 'ל']",Verb,pa'al,"to crawl, to cringe, to demean oneself before (בפני)"
זוֹחֵל,zochel,"['ז', 'ח', 'ל']",Noun,"kotel pattern, masculine",reptile (biology)
מִזְחֶלֶת,mizchelet,"['ז', 'ח', 'ל']",Noun,"miktelet pattern, feminine","sled, sledge, sleigh"
לְהָזִיד,lehazid,"['ז', 'י', 'ד']",Verb,hif'il,"to sin (knowingly, intentionally) (Judaism)"
זִיו,ziv,[],Noun,"radiance, brilliance, glow",
לְהִזְדַּייֵּן,lehizdayen,"['ז', 'י', 'ן']",Verb,hitpa'el,to arm oneself; to fuck
זַיִן,zayin,"['ז', 'י', 'ן']",Noun,"ketel pattern, masculine","penis (vulgar); arms, weapons"
לְזַייֵּן,lezayen,"['ז', 'י', 'ן']",Verb,pi'el,to arm; to fuck
זִיעַ,zia,[],Noun,"flutter, tremor; awe, respect, fear (biblical)",
זִיף,zif,[],Noun,bristle,
לְזַייֵּף,lezayef,"['ז', 'י', 'ף']",Verb,pi'el,"to forge, to fake"
זִיקִּית,zikit,[],Noun,feminine,chameleon
זִירָה,zira,[],Noun,feminine,arena
זַיִת,zayit,"['ז', 'י', 'ת']",Noun,"ketel pattern, masculine",olive
לִזְכּוֹת,lizkot,"['ז', 'כ', 'ה']",Verb,pa'al,"to win, to achieve, to get"
זְכוּת,zchut,"['ז', 'כ', 'ה']",Noun,"ktut pattern, feminine","right, prerogative, privilege"
זַכַּאי,zakay,"['ז', 'כ', 'ה']",Adjective,kattal pattern,"innocent, acquitted; eligible, entitled to (ל־)"
זִיכּוּי,zikuy,"['ז', 'כ', 'ה']",Noun,"kittul pattern, masculine",acquittal; credit (accounting)
לְזַכּוֹת,lezakot,"['ז', 'כ', 'ה']",Verb,pi'el,to achieve; to credit
זְכִייָּה,zchiya,"['ז', 'כ', 'ה']",Noun,"ktila pattern, feminine","success, victory; achievement"
זַכְייָן,zachyan,"['ז', 'כ', 'ה']",Noun,"katlan pattern, masculine","franchisee, concessionaire"
זָכוּי,zachuy,"['ז', 'כ', 'ה']",Adjective,katul pattern,"advantageous (position in chess, slang)"
זַךְ,zach,"['ז', 'כ', 'ך']",Adjective,kal pattern,"clear, pure"
מְזוּכָּךְ,mezukach,"['ז', 'כ', 'ך']",Adjective,mekuttal pattern,"purified, refined"
לְזַכֵּךְ,lezakech,"['ז', 'כ', 'ך']",Verb,pi'el,"to clean, to purify"
זְכוּכִית,zchuchit,"['ז', 'כ', 'ך']",Noun,feminine,glass (material)
לִזְכּוֹר,lizkor,"['ז', 'כ', 'ר']",Verb,pa'al,to remember
לְהִיזָּכֵר,lehizacher,"['ז', 'כ', 'ר']",Verb,nif'al,to recall (ב-)
זְכִירָה,zchira,"['ז', 'כ', 'ר']",Noun,"ktila pattern, feminine","memorization, remembering"
תִּזְכּוֹרֶת,tizkoret,"['ז', 'כ', 'ר']",Noun,"tiktolet pattern, feminine","reminder, memorandum"
אַזְכָּרָה,azkara,"['ז', 'כ', 'ר']",Noun,"aktala pattern, feminine","commemoration, funeral service"
זֵכֶר,zecher,"['ז', 'כ', 'ר']",Noun,"ketel pattern, masculine",memory (of a deceased person or of some event)
מַזְכֶּרֶת,mazkeret,"['ז', 'כ', 'ר']",Noun,"maktelet pattern, feminine","souvenir, memorable gift"
הַזְכָּרָה,hazkara,"['ז', 'כ', 'ר']",Noun,"haktala pattern, feminine",mentioning
זִיכָּרוֹן,zikaron,"['ז', 'כ', 'ר']",Noun,"kittalon pattern, masculine",memory
מִזְכָּר,mizkar,"['ז', 'כ', 'ר']",Noun,"miktal pattern, masculine","memorandum, memo, note"
מַזְכִּיר,mazkir,"['ז', 'כ', 'ר']",Noun,"maktil pattern, masculine",secretary
לְהַזְכִּיר,lehazkir,"['ז', 'כ', 'ר']",Verb,hif'il,to remind
זָכוּר,zachur,"['ז', 'כ', 'ר']",Adjective,katul pattern,remembered
מוּזְכָּר,muzkar,"['ז', 'כ', 'ר']",Adjective,muktal pattern,"mentioned, cited"
זָכָר,zachar,"['ז', 'כ', 'ר']",Noun,"katal pattern, masculine",male; man; masculine gender (grammar)
לִזְלוֹג,lizlog,"['ז', 'ל', 'ג']",Verb,pa'al,"to flow, to trickle"
מַזְלֵג,mazleg,"['ז', 'ל', 'ג']",Noun,"maktel pattern, masculine",fork (utensil)
זַלְזַל,zalzal,[],Noun,"thin branch, tendril (of a plant)",
מְזַלְזֵל,mezalzel,"['ז', 'ל', 'ז', 'ל']",Adjective,mekattel pattern,"pejorative, disparaging"
לְזַלְזֵל,lezalzel,"['ז', 'ל', 'ז', 'ל']",Verb,pi'el,"to degrade, to disregard (ב-)"
לִזְלוֹל,lizlol,"['ז', 'ל', 'ל']",Verb,pa'al,"to gobble, to gorge"
זְלִילָה,zlila,"['ז', 'ל', 'ל']",Noun,"ktila pattern, feminine","gluttony, overeating"
לְהַזְלִיף,lehazlif,"['ז', 'ל', 'ף']",Verb,hif'il,"to sprinkle, to splash; to infuse (intravenously)"
מַזְלֵף,mazlef,"['ז', 'ל', 'ף']",Noun,"maktel pattern, masculine",watering can
זִימְזוּם,zimzum,"['ז', 'מ', 'ז', 'ם']",Noun,"kittul pattern, masculine","buzz, humming"
לְזַמְזֵם,lezamzem,"['ז', 'מ', 'ז', 'ם']",Verb,pi'el,"to buzz, to hum"
זַמְזָם,zamzam,"['ז', 'מ', 'ז', 'ם']",Noun,"kattal pattern, masculine",buzzer
זִימָּה,zima,"['ז', 'מ', 'ם']",Noun,"kitla pattern, feminine",lust
מְזִימָּה,mezima,"['ז', 'מ', 'ם']",Noun,"mekila pattern, feminine","plot, conspiracy"
לְהָזִים,lehazim,"['ז', 'מ', 'ם']",Verb,hif'il,to refute (evidence presented by witness)
לִזְמוֹם,lizmom,"['ז', 'מ', 'ם']",Verb,pa'al,"to plot, to devise (a crime, etc.)"
זָמִין,zamin,"['ז', 'מ', 'ן']",Adjective,katil pattern,available
זְמִינוּת,zminut,"['ז', 'מ', 'ן']",Noun,feminine,availability
הִזְדַּמְּנוּת,hizdamnut,"['ז', 'מ', 'ן']",Noun,"hitkattlut pattern, feminine",opportunity; occasion
הַזְמָנָה,hazmana,"['ז', 'מ', 'ן']",Noun,"haktala pattern, feminine","invitation; order (in a restaurant, etc.)"
זְמַן,zman,"['ז', 'מ', 'ן']",Noun,"ktal pattern, masculine",time; tense (grammar)
זְמַנִּי,zmani,"['ז', 'מ', 'ן']",Adjective,temporary,
לְזַמֵּן,lezamen,"['ז', 'מ', 'ן']",Verb,pi'el,"to summon, to convene"
לְהַזְמִין,lehazmin,"['ז', 'מ', 'ן']",Verb,hif'il,"to invite, to order"
מְזוּמָּן,mezuman,"['ז', 'מ', 'ן']",Noun,"mekuttal pattern, masculine",cash (used both in singular and plural)
לְהִזְדַּמֵּן,lehizdamen,"['ז', 'מ', 'ן']",Verb,hitpa'el,"to occur, to happen"
תִּזְמוֹרֶת,tizmoret,"['ז', 'מ', 'ר']",Noun,"tiktolet pattern, feminine",orchestra
זַמָּר,zamar,"['ז', 'מ', 'ר']",Noun,"kattal pattern, masculine",singer
זֵמֶר,zemer,"['ז', 'מ', 'ר']",Noun,"ketel pattern, masculine","song, melody, musical theme"
מִזְמוֹר,mizmor,"['ז', 'מ', 'ר']",Noun,"miktol pattern, masculine",psalm; song (lit.)
לְזַמֵּר,lezamer,"['ז', 'מ', 'ר']",Verb,pi'el,to sing
לִזְמוֹר,lizmor,"['ז', 'מ', 'ר']",Verb,pa'al,to prune (grapevine)
זְמִירָה,zmira,"['ז', 'מ', 'ר']",Noun,"ktila pattern, feminine","pruning, trimming, clipping"
זָמִיר,zamir,"['ז', 'מ', 'ר']",Noun,"katil pattern, masculine",nightingale
זִמְרָה,zimra,"['ז', 'מ', 'ר']",Noun,"kitla pattern, feminine",singing
זַןּ,zan,[],Noun,masculine,"species, type, variety, strain"
זְנַבְנַב,znavnav,"['ז', 'נ', 'ב']",Noun,"ktaltal pattern, masculine","tail (diminutive), little tail"
זָנָב,zanav,"['ז', 'נ', 'ב']",Noun,"katal pattern, masculine",tail (of an animal)
לְזַנֵּב,lezanev,"['ז', 'נ', 'ב']",Verb,pi'el,to chase; to steal (slang)
לְהִזְדַּנֵּב,lehizdanev,"['ז', 'נ', 'ב']",Verb,hitpa'el,"to trail behind, to queue up (אחרי)"
זַנְגְּבִיל,zangvil,[],Noun,masculine,ginger
לִזְנוֹחַ,liznoach,"['ז', 'נ', 'ח']",Verb,pa'al,"to leave, to abandon"
זָנִיחַ,zaniach,"['ז', 'נ', 'ח']",Adjective,katil pattern,"trivial, insignificant, negligible"
לְהַזְנִיחַ,lehazniach,"['ז', 'נ', 'ח']",Verb,hif'il,"to neglect, to abandon"
זְנוּת,znut,"['ז', 'נ', 'ה']",Noun,"ktut pattern, feminine","prostitution; vice, fornication"
לִזְנוֹת,liznot,"['ז', 'נ', 'ה']",Verb,pa'al,"to commit adultery, to be promiscuous"
לְזַנּוֹת,lezanot,"['ז', 'נ', 'ה']",Verb,pi'el,"to commit adultery, to be promiscuous (lit.)"
זִינּוּק,zinuk,"['ז', 'נ', 'ק']",Noun,"kittul pattern, masculine","start; spurt, dash, leap"
לְזַנֵּק,lezanek,"['ז', 'נ', 'ק']",Verb,pi'el,"to leap, to jump (ahead), to pounce"
לְהַזְנִיק,lehaznik,"['ז', 'נ', 'ק']",Verb,hif'il,"to launch (a plane, a vehicle); to start (a project, etc.)"
לְזַעְזֵעַ,leza'azea,"['ז', 'ע', 'ז', 'ע']",Verb,pi'el,"to shake, to rock"
לְהִזְדַּעְזֵעַ,lehizda'azea,"['ז', 'ע', 'ז', 'ע']",Verb,hitpa'el,"to be shocked, horrified"
זַעְזוּעַ,za'azua,"['ז', 'ע', 'ז', 'ע']",Noun,"kattul pattern, masculine","shock, turbulence, turmoil; crisis, upheaval"
לִזְעוֹם,liz'om,"['ז', 'ע', 'ם']",Verb,pa'al,"to rage, to be angry at (על)"
לְהִיזָּעֵם,lehiza'em,"['ז', 'ע', 'ם']",Verb,nif'al,to become angry (על)
זַעַם,za'am,"['ז', 'ע', 'ם']",Noun,"ketel pattern, masculine","anger, fury, wrath, ire"
לִזְעוֹף,liz'of,"['ז', 'ע', 'ף']",Verb,pa'al,"to be furious, to be angry"
לְהַזְעִיף,lehaz'if,"['ז', 'ע', 'ף']",Verb,hif'il,"to frown, to get angry (להזעיף פנים)"
לִזְעוֹק,liz'ok,"['ז', 'ע', 'ק']",Verb,pa'al,"to scream, to yell, to shout, to cry"
אַזְעָקָה,az'aka,"['ז', 'ע', 'ק']",Noun,"aktala pattern, feminine","siren, alarm"
זַעֲקָה,za'aka,"['ז', 'ע', 'ק']",Noun,"katla pattern, feminine","shout, cry, yell"
לְהַזְעִיק,lehaz'ik,"['ז', 'ע', 'ק']",Verb,hif'il,"to summon, to call (for action, for help)"
לְהִיזָּעֵק,lehiza'ek,"['ז', 'ע', 'ק']",Verb,nif'al,to arrive quickly (in response to an alarm); to be summoned
לְהִזְדַּעֵק,lehizda'ek,"['ז', 'ע', 'ק']",Verb,hitpa'el,"to cry out, to protest (lit.)"
זָעִיר,za'ir,"['ז', 'ע', 'ר']",Adjective,katil pattern,"small, tiny"
לְזַעֵר,leza'er,"['ז', 'ע', 'ר']",Verb,pi'el,"to minimise, to reduce (an image)"
זֶפֶת,zefet,"['ז', 'פ', 'ת']",Noun,"ketel pattern, feminine","tar, pitch"
לְזַפֵּת,lezapet,"['ז', 'פ', 'ת']",Verb,pi'el,"to tar, to asphalt"
לְהִזְדַּקֵּן,lehizdaken,"['ז', 'ק', 'ן']",Verb,hitpa'el,"to age, to grow old"
זָקֵן,zaken,"['ז', 'ק', 'ן']",Adjective,katel pattern,old (of age)
זָקָן,zakan,"['ז', 'ק', 'ן']",Noun,"katal pattern, masculine",beard
זִקְנָה,zikna,"['ז', 'ק', 'ן']",Noun,"kitla pattern, feminine",old age
זְקוּנִים,zkunim,"['ז', 'ק', 'ן']",Noun,"ktul pattern, masculine, plural",old age (biblical)
לְהַזְקִין,lehazkin,"['ז', 'ק', 'ן']",Verb,hif'il,"to age, to grow old; to make old, to make someone look old"
זָקֵן,zaken,"['ז', 'ק', 'ן']",Verb,pa'al,"to age, to grow old"
לְהִזְדַּקֵּף,lehizdakef,"['ז', 'ק', 'ף']",Verb,hitpa'el,to straighten up
זִקְפָּה,zikpa,"['ז', 'ק', 'ף']",Noun,"kitla pattern, feminine",erection (penis)
זָקוּף,zakuf,"['ז', 'ק', 'ף']",Adjective,katul pattern,"erect, straight; vertical"
לִזְקוֹף,lizkof,"['ז', 'ק', 'ף']",Verb,pa'al,"to straighten up, to erect; to credit (to an account)"
לְהִיזָּקֵף,lehizakef,"['ז', 'ק', 'ף']",Verb,nif'al,"to be recognised, credited to (ל-)"
זִיקּוּק,zikuk,"['ז', 'ק', 'ק']",Noun,"kittul pattern, masculine","distillation, purification"
לְהִיזָּקֵק,lehizakek,"['ז', 'ק', 'ק']",Verb,nif'al,"to need, to require (ל-)"
זָקוּק,zakuk,"['ז', 'ק', 'ק']",Adjective,katul pattern,needs (used as a verb) (ל־)
זִיקּוּק,zikuk,"['ז', 'ק', 'ק']",Noun,"kittul pattern, masculine","flare, spark, firework (lit.)"
לְזַקֵּק,lezakek,"['ז', 'ק', 'ק']",Verb,pi'el,"to refine, to distil"
לְהַזְקִיק,lehazkik,"['ז', 'ק', 'ק']",Verb,hif'il,"to require, to necessitate"
זִיקָּה,zika,"['ז', 'ק', 'ק']",Noun,"kitla pattern, feminine","affinity, attachment, bond, propensity (ל־)"
הִזְדַּקְּקוּת,hizdakekut,"['ז', 'ק', 'ק']",Noun,"hitkattlut pattern, feminine","requirement, need of something (ל־)"
לְהִזְדַּקֵּק,lehizdakek,"['ז', 'ק', 'ק']",Verb,hitpa'el,"to need, to require (ל-)"
לְהִזְדַּקֵּר,lehizdaker,"['ז', 'ק', 'ר']",Verb,hitpa'el,"to protrude, to stick out"
זָקוּר,zakur,"['ז', 'ק', 'ר']",Adjective,katul pattern,"prominent, protruding"
מְזוּרְגָּג,mezurgag,"['ז', 'ר', 'ג', 'ג']",Adjective,mekuttal pattern,"bad, rotten, damned (slang)"
לְזַרְגֵּג,lezargeg,"['ז', 'ר', 'ג', 'ג']",Verb,pi'el,"to ruin, to wreck (slang); to have sexual intercourse with (vulgar)"
זֶרֶד,zered,"['ז', 'ר', 'ד']",Noun,"ketel pattern, masculine","twig, tendril"
לְזָרֵז,lezarez,"['ז', 'ר', 'ז']",Verb,pi'el,"to speed up, to expedite, to hurry"
לְהִזְדָּרֵז,lehizdarez,"['ז', 'ר', 'ז']",Verb,hitpa'el,"to hurry up, to hustle"
זְרִיזוּת,zrizut,"['ז', 'ר', 'ז']",Noun,feminine,"agility, quickness, dexterity"
זָרִיז,zariz,"['ז', 'ר', 'ז']",Adjective,katil pattern,"quick, agile, nimble"
זָרָז,zaraz,"['ז', 'ר', 'ז']",Noun,"kattal pattern, masculine",catalyst
לְזַרְזֵף,lezarzef,"['ז', 'ר', 'ז', 'ף']",Verb,pi'el,"to flow, to pour, to trickle (rare.)"
אֶזְרָח,ezrach,"['ז', 'ר', 'ח']",Noun,"ektal pattern, masculine",citizen
לִזְרוֹחַ,lizroach,"['ז', 'ר', 'ח']",Verb,pa'al,"to shine, to dawn"
אֶזְרָחוּת,ezrachut,"['ז', 'ר', 'ח']",Noun,feminine,citizenship
זְרִיחָה,zricha,"['ז', 'ר', 'ח']",Noun,"ktila pattern, feminine",sunrise
מִזְרָח,mizrach,"['ז', 'ר', 'ח']",Noun,"miktal pattern, masculine",east
מִזְרָחָה,mizracha,"['ז', 'ר', 'ח']",Adverb,"to the east, eastward",
מִזְרָחִי,mizrachi,"['ז', 'ר', 'ח']",Adjective,eastern,
לִזְרוֹת,lizrot,"['ז', 'ר', 'ה']",Verb,pa'al,"to scatter, to sprinkle"
לְהִיזָּרוֹת,lehizarot,"['ז', 'ר', 'ה']",Verb,nif'al,"to be scattered, sprinkled"
זֶרֶם,zerem,"['ז', 'ר', 'ם']",Noun,"ketel pattern, masculine",flow; movement (e. g. religious or political)
תַּזְרִים,tazrim,"['ז', 'ר', 'ם']",Noun,"taktil pattern, masculine","flow (of cash, funds etc.)"
זְרִימָה,zrima,"['ז', 'ר', 'ם']",Noun,"ktila pattern, feminine",flow
לְהַזְרִים,lehazrim,"['ז', 'ר', 'ם']",Verb,hif'il,"to pour, to cause to flow"
לִזְרוֹם,lizrom,"['ז', 'ר', 'ם']",Verb,pa'al,"to stream, to flow; to be flexible (figurative)"
מִזְרָן,mizran,"['ז', 'ר', 'ן']",Noun,"miktal pattern, masculine","mattress, mat"
לִזְרוֹעַ,lizroa,"['ז', 'ר', 'ע']",Verb,pa'al,"to sow, to disseminate"
זֶרַע,zera,"['ז', 'ר', 'ע']",Noun,"ketel pattern, masculine",seed; semen
לְהִיזָּרֵעַ,lehizarea,"['ז', 'ר', 'ע']",Verb,nif'al,"to be sown, disseminated"
לְהַזְרִיעַ,lehazria,"['ז', 'ר', 'ע']",Verb,hif'il,to inseminate (animals); to give seeds (biblical)
זְרוֹעַ,zroa,"['ז', 'ר', 'ע']",Noun,"ktol pattern, feminine","arm, upper arm; handle, lever"
לִזְרוֹק,lizrok,"['ז', 'ר', 'ק']",Verb,pa'al,to throw
לְהִיזָּרֵק,lehizarek,"['ז', 'ר', 'ק']",Verb,nif'al,to be thrown
